Title,ArXiv Link,Paper Date,Date Added
Enhancing Spatio-temporal Quantile Forecasting with Curriculum Learning - Lessons Learned,https://arxiv.org/abs/2406.12709,2024-06-18,2024-06-19
AgentReview - Exploring Peer Review Dynamics with LLM Agents,https://arxiv.org/abs/2406.12708,2024-06-18,2024-06-19
Talk With Human-like Agents - Empathetic Dialogue Through Perceptible Acoustic Reception and Reaction,https://arxiv.org/abs/2406.12707,2024-06-18,2024-06-19
Jailbreak Paradox - The Achilles' Heel of LLMs,https://arxiv.org/abs/2406.12702,2024-06-18,2024-06-19
SUPER - Selfie Undistortion and Head Pose Editing with Identity Preservation,https://arxiv.org/abs/2406.12700,2024-06-18,2024-06-19
Online-Adaptive Anomaly Detection for Defect Identification in Aircraft Assembly,https://arxiv.org/abs/2406.12698,2024-06-18,2024-06-19
XXLTraffic - Expanding and Extremely Long Traffic Dataset for Ultra-Dynamic Forecasting Challenges,https://arxiv.org/abs/2406.12693,2024-06-18,2024-06-19
MAGIC - Generating Self-Correction Guideline for In-Context Text-to-SQL,https://arxiv.org/abs/2406.12692,2024-06-18,2024-06-19
Using LLMs to Aid Annotation and Collection of Clinically-Enriched Data in Bipolar Disorder and Schizophrenia,https://arxiv.org/abs/2406.12687,2024-06-18,2024-06-19
Spatial Sequence Attention Network for Schizophrenia Classification from Structural Brain MR Images,https://arxiv.org/abs/2406.12683,2024-06-18,2024-06-19
Measuring Psychological Depth in Language Models,https://arxiv.org/abs/2406.12680,2024-06-18,2024-06-19
Vernacular? I Barely Know Her - Challenges with Style Control and Stereotyping,https://arxiv.org/abs/2406.12679,2024-06-18,2024-06-19
Contraction rates for conjugate gradient and Lanczos approximate posteriors in Gaussian process regression,https://arxiv.org/abs/2406.12678,2024-06-18,2024-06-19
Estimating Knowledge in Large Language Models Without Generating a Single Token,https://arxiv.org/abs/2406.12673,2024-06-18,2024-06-19
Sparsifying dimensionality reduction of PDE solution data with Bregman learning,https://arxiv.org/abs/2406.12672,2024-06-18,2024-06-19
Stealth edits for provably fixing or attacking large language models,https://arxiv.org/abs/2406.12670,2024-06-18,2024-06-19
A Systematization of the Wagner Framework - Graph Theory Conjectures and Reinforcement Learning,https://arxiv.org/abs/2406.12667,2024-06-18,2024-06-19
CollabStory - Multi-LLM Collaborative Story Generation and Authorship Analysis,https://arxiv.org/abs/2406.12665,2024-06-18,2024-06-19
Do More Details Always Introduce More Hallucinations in LVLM-based Image Captioning?,https://arxiv.org/abs/2406.12663,2024-06-18,2024-06-19
SCORE - A 1D Reparameterization Technique to Break Bayesian Optimization's Curse of Dimensionality,https://arxiv.org/abs/2406.12661,2024-06-18,2024-06-19
Investigating the Role of Explainability and AI Literacy in User Compliance,https://arxiv.org/abs/2406.12660,2024-06-18,2024-06-19
A variational Bayes approach to debiased inference for low-dimensional parameters in high-dimensional linear regression,https://arxiv.org/abs/2406.12659,2024-06-18,2024-06-19
Federated Learning with a Single Shared Image,https://arxiv.org/abs/2406.12658,2024-06-18,2024-06-19
Benchmarks and Metrics for Evaluations of Code Generation - A Critical Review,https://arxiv.org/abs/2406.12655,2024-06-18,2024-06-19
Probabilistic Conceptual Explainers - Trustworthy Conceptual Explanations for Vision Foundation Models,https://arxiv.org/abs/2406.12649,2024-06-18,2024-06-19
Evaluating Transparency of Machine Generated Fact Checking Explanations,https://arxiv.org/abs/2406.12645,2024-06-18,2024-06-19
Hierarchical Prompting Taxonomy - A Universal Evaluation Framework for Large Language Models,https://arxiv.org/abs/2406.12644,2024-06-18,2024-06-19
DetectBench - Can Large Language Model Detect and Piece Together Implicit Evidence?,https://arxiv.org/abs/2406.12641,2024-06-18,2024-06-19
Research and Implementation of Data Enhancement Techniques for Graph Neural Networks,https://arxiv.org/abs/2406.12640,2024-06-18,2024-06-19
Ask-before-Plan - Proactive Language Agents for Real-World Planning,https://arxiv.org/abs/2406.12639,2024-06-18,2024-06-19
Efficient and Long-Tailed Generalization for Pre-trained Vision-Language Model,https://arxiv.org/abs/2406.12638,2024-06-18,2024-06-19
ScenEval - A Benchmark for Scenario-Based Evaluation of Code Generation,https://arxiv.org/abs/2406.12635,2024-06-18,2024-06-19
News Without Borders - Domain Adaptation of Multilingual Sentence Embeddings for Cross-lingual News Recommendation,https://arxiv.org/abs/2406.12634,2024-06-18,2024-06-19
SeTAR - Out-of-Distribution Detection with Selective Low-Rank Approximation,https://arxiv.org/abs/2406.12629,2024-06-18,2024-06-19
Judging the Judges - Evaluating Alignment and Vulnerabilities in LLMs-as-Judges,https://arxiv.org/abs/2406.12624,2024-06-18,2024-06-19
Growing Trees on Sounds - Assessing Strategies for End-to-End Dependency Parsing of Speech,https://arxiv.org/abs/2406.12621,2024-06-18,2024-06-19
What makes two models think alike?,https://arxiv.org/abs/2406.12620,2024-06-18,2024-06-19
From Insights to Actions - The Impact of Interpretability and Analysis Research on NLP,https://arxiv.org/abs/2406.12618,2024-06-18,2024-06-19
Learning Diffusion at Lightspeed,https://arxiv.org/abs/2406.12616,2024-06-18,2024-06-19
When Are Bias-Free ReLU Networks Like Linear Networks?,https://arxiv.org/abs/2406.12615,2024-06-18,2024-06-19
EUvsDisinfo - a Dataset for Multilingual Detection of Pro-Kremlin Disinformation in News Articles,https://arxiv.org/abs/2406.12614,2024-06-18,2024-06-19
Rapid Language Adaptation for Multilingual E2E Speech Recognition Using Encoder Prompting,https://arxiv.org/abs/2406.12611,2024-06-18,2024-06-19
Bridging Local Details and Global Context in Text-Attributed Graphs,https://arxiv.org/abs/2406.12608,2024-06-18,2024-06-19
Low-Redundant Optimization for Large Language Model Alignment,https://arxiv.org/abs/2406.12606,2024-06-18,2024-06-19
Attack and Defense of Deep Learning Models in the Field of Web Attack Detection,https://arxiv.org/abs/2406.12605,2024-06-18,2024-06-19
Reinforcement-Learning based routing for packet-optical networks with hybrid telemetry,https://arxiv.org/abs/2406.12602,2024-06-18,2024-06-19
Generalization bounds for mixing processes via delayed online-to-PAC conversions,https://arxiv.org/abs/2406.12600,2024-06-18,2024-06-19
PromptDSI - Prompt-based Rehearsal-free Instance-wise Incremental Learning for Document Retrieval,https://arxiv.org/abs/2406.12593,2024-06-18,2024-06-19
Discovering Minimal Reinforcement Learning Environments,https://arxiv.org/abs/2406.12589,2024-06-18,2024-06-19
UIFV - Data Reconstruction Attack in Vertical Federated Learning,https://arxiv.org/abs/2406.12588,2024-06-18,2024-06-19
Breaking the Ceiling of the LLM Community by Treating Token Generation as a Classification for Ensembling,https://arxiv.org/abs/2406.12585,2024-06-18,2024-06-19
Training Diffusion Models with Federated Learning,https://arxiv.org/abs/2406.12575,2024-06-18,2024-06-19
Mathador-LM - A Dynamic Benchmark for Mathematical Reasoning on Large Language Models,https://arxiv.org/abs/2406.12572,2024-06-18,2024-06-19
Applying Ensemble Methods to Model-Agnostic Machine-Generated Text Detection,https://arxiv.org/abs/2406.12570,2024-06-18,2024-06-19
MOYU - A Theoretical Study on Massive Over-activation Yielded Uplifts in LLMs,https://arxiv.org/abs/2406.12569,2024-06-18,2024-06-19
RichRAG - Crafting Rich Responses for Multi-faceted Queries in Retrieval-Augmented Generation,https://arxiv.org/abs/2406.12566,2024-06-18,2024-06-19
Low-Resource Machine Translation through the Lens of Personalized Federated Learning,https://arxiv.org/abs/2406.12564,2024-06-18,2024-06-19
A Super-human Vision-based Reinforcement Learning Agent for Autonomous Racing in Gran Turismo,https://arxiv.org/abs/2406.12563,2024-06-18,2024-06-19
Bayesian Data Selection,https://arxiv.org/abs/2406.12560,2024-06-18,2024-06-19
Offline Imitation Learning with Model-based Reverse Augmentation,https://arxiv.org/abs/2406.12550,2024-06-18,2024-06-19
MultiSocial - Multilingual Benchmark of Machine-Generated Text Detection of Social-Media Texts,https://arxiv.org/abs/2406.12549,2024-06-18,2024-06-19
P-Tailor - Customizing Personality Traits for Language Models via Mixture of Specialized LoRA Experts,https://arxiv.org/abs/2406.12548,2024-06-18,2024-06-19
The Heterophilic Snowflake Hypothesis - Training and Empowering GNNs for Heterophilic Graphs,https://arxiv.org/abs/2406.12539,2024-06-18,2024-06-19
Variational Distillation of Diffusion Policies into Mixture of Experts,https://arxiv.org/abs/2406.12538,2024-06-18,2024-06-19
Unified Active Retrieval for Retrieval Augmented Generation,https://arxiv.org/abs/2406.12534,2024-06-18,2024-06-19
TREE - Tree Regularization for Efficient Execution,https://arxiv.org/abs/2406.12531,2024-06-18,2024-06-19
LLM4MSR - An LLM-Enhanced Paradigm for Multi-Scenario Recommendation,https://arxiv.org/abs/2406.12529,2024-06-18,2024-06-19
FuseGen - PLM Fusion for Data-generation based Zero-shot Learning,https://arxiv.org/abs/2406.12527,2024-06-18,2024-06-19
On the Convergence of Tâtonnement for Linear Fisher Markets,https://arxiv.org/abs/2406.12526,2024-06-18,2024-06-19
Update Selective Parameters - Federated Machine Unlearning Based on Model Explanation,https://arxiv.org/abs/2406.12516,2024-06-18,2024-06-19
Improving the Evaluation and Actionability of Explanation Methods for Multivariate Time Series Classification,https://arxiv.org/abs/2406.12507,2024-06-18,2024-06-19
Autonomous navigation of catheters and guidewires in mechanical thrombectomy using inverse reinforcement learning,https://arxiv.org/abs/2406.12499,2024-06-18,2024-06-19
LightPAL - Lightweight Passage Retrieval for Open Domain Multi-Document Summarization,https://arxiv.org/abs/2406.12494,2024-06-18,2024-06-19
The Power of LLM-Generated Synthetic Data for Stance Detection in Online Political Discussions,https://arxiv.org/abs/2406.12480,2024-06-18,2024-06-19
RS-GPT4V - A Unified Multimodal Instruction-Following Dataset for Remote Sensing Image Understanding,https://arxiv.org/abs/2406.12479,2024-06-18,2024-06-19
Accelerating Depthwise Separable Convolutions on Ultra-Low-Power Devices,https://arxiv.org/abs/2406.12478,2024-06-18,2024-06-19
Adversarial Multi-dueling Bandits,https://arxiv.org/abs/2406.12475,2024-06-18,2024-06-19
Exploring Intra and Inter-language Consistency in Embeddings with ICA,https://arxiv.org/abs/2406.12474,2024-06-18,2024-06-19
Fighting Randomness with Randomness - Mitigating Optimisation Instability of Fine-Tuning using Delayed Ensemble and Noisy Interpolation,https://arxiv.org/abs/2406.12471,2024-06-18,2024-06-19
Adaptive Token Biaser - Knowledge Editing via Biasing Key Entities,https://arxiv.org/abs/2406.12468,2024-06-18,2024-06-19
RIGL - A Unified Reciprocal Approach for Tracing the Independent and Group Learning Processes,https://arxiv.org/abs/2406.12465,2024-06-18,2024-06-19
Insect Identification in the Wild - The AMI Dataset,https://arxiv.org/abs/2406.12452,2024-06-18,2024-06-19
Retrieval-Augmented Generation for Generative Artificial Intelligence in Medicine,https://arxiv.org/abs/2406.12449,2024-06-18,2024-06-19
Adaptive Mean Estimation in the Hidden Markov sub-Gaussian Mixture Model,https://arxiv.org/abs/2406.12446,2024-06-18,2024-06-19
Abstraction-of-Thought Makes Language Models Better Reasoners,https://arxiv.org/abs/2406.12442,2024-06-18,2024-06-19
A data-centric approach for assessing progress of Graph Neural Networks,https://arxiv.org/abs/2406.12439,2024-06-18,2024-06-19
Federated Learning with Limited Node Labels,https://arxiv.org/abs/2406.12435,2024-06-18,2024-06-19
Towards Audio Codec-based Speech Separation,https://arxiv.org/abs/2406.12434,2024-06-18,2024-06-19
Exploring Sensing Devices for Heart and Lung Sound Monitoring,https://arxiv.org/abs/2406.12432,2024-06-18,2024-06-19
PlanRAG - A Plan-then-Retrieval Augmented Generation for Generative Large Language Models as Decision Makers,https://arxiv.org/abs/2406.12430,2024-06-18,2024-06-19
Adaptive Selection for Homogeneous Tools - An Instantiation in the RAG Scenario,https://arxiv.org/abs/2406.12429,2024-06-18,2024-06-19
PSLM - Parallel Generation of Text and Speech with LLMs for Low-Latency Spoken Dialogue Systems,https://arxiv.org/abs/2406.12428,2024-06-18,2024-06-19
Deep Temporal Deaggregation - Large-Scale Spatio-Temporal Generative Models,https://arxiv.org/abs/2406.12423,2024-06-18,2024-06-19
Open-Source Web Service with Morphological Dictionary-Supplemented Deep Learning for Morphosyntactic Analysis of Czech,https://arxiv.org/abs/2406.12422,2024-06-18,2024-06-19
MMUTF - Multimodal Multimedia Event Argument Extraction with Unified Template Filling,https://arxiv.org/abs/2406.12420,2024-06-18,2024-06-19
AI-Assisted Human Evaluation of Machine Translation,https://arxiv.org/abs/2406.12419,2024-06-18,2024-06-19
Beyond Under-Alignment - Atomic Preference Enhanced Factuality Tuning for Large Language Models,https://arxiv.org/abs/2406.12416,2024-06-18,2024-06-19
Pushing the Frontier on Approximate EFX Allocations,https://arxiv.org/abs/2406.12413,2024-06-18,2024-06-19
A Novel Algorithm for Community Detection in Networks using Rough Sets and Consensus Clustering,https://arxiv.org/abs/2406.12412,2024-06-18,2024-06-19
TADM - Temporally-Aware Diffusion Model for Neurodegenerative Progression on Brain MRI,https://arxiv.org/abs/2406.12411,2024-06-18,2024-06-19
Translation Equivariant Transformer Neural Processes,https://arxiv.org/abs/2406.12409,2024-06-18,2024-06-19
Fast Rates for Bandit PAC Multiclass Classification,https://arxiv.org/abs/2406.12406,2024-06-18,2024-06-19
PDSS - A Privacy-Preserving Framework for Step-by-Step Distillation of Large Language Models,https://arxiv.org/abs/2406.12403,2024-06-18,2024-06-19
Flee the Flaw - Annotating the Underlying Logic of Fallacious Arguments Through Templates and Slot-filling,https://arxiv.org/abs/2406.12402,2024-06-18,2024-06-19
QueerBench - Quantifying Discrimination in Language Models Toward Queer Identities,https://arxiv.org/abs/2406.12399,2024-06-18,2024-06-19
Unveiling the Flaws - Exploring Imperfections in Synthetic Data and Mitigation Strategies for Large Language Models,https://arxiv.org/abs/2406.12397,2024-06-18,2024-06-19
EMO-KNOW - A Large Scale Dataset on Emotion and Emotion-cause,https://arxiv.org/abs/2406.12389,2024-06-18,2024-06-19
Performant ASR Models for Medical Entities in Accented Speech,https://arxiv.org/abs/2406.12387,2024-06-18,2024-06-19
From Instance Training to Instruction Learning - Task Adapters Generation from Instructions,https://arxiv.org/abs/2406.12382,2024-06-18,2024-06-19
QOG -Question and Options Generation based on Language Model,https://arxiv.org/abs/2406.12381,2024-06-18,2024-06-19
Efficient mapping of phase diagrams with conditional normalizing flows,https://arxiv.org/abs/2406.12378,2024-06-18,2024-06-19
GW-MoE - Resolving Uncertainty in MoE Router with Global Workspace Theory,https://arxiv.org/abs/2406.12375,2024-06-18,2024-06-19
Problem-Solving in Language Model Networks,https://arxiv.org/abs/2406.12374,2024-06-18,2024-06-19
WebCanvas - Benchmarking Web Agents in Online Environments,https://arxiv.org/abs/2406.12373,2024-06-18,2024-06-19
A Comparative Study of Continuous Sign Language Recognition Techniques,https://arxiv.org/abs/2406.12369,2024-06-18,2024-06-19
Competitive Learning for Achieving Content-specific Filters in Video Coding for Machines,https://arxiv.org/abs/2406.12367,2024-06-18,2024-06-19
Structured Prediction in Online Learning,https://arxiv.org/abs/2406.12366,2024-06-18,2024-06-19
UrbanLLM - Autonomous Urban Activity Planning and Management with Large Language Models,https://arxiv.org/abs/2406.12360,2024-06-18,2024-06-19
Memory Sequence Length of Data Sampling Impacts the Adaptation of Meta-Reinforcement Learning Agents,https://arxiv.org/abs/2406.12359,2024-06-18,2024-06-19
Cross-Lingual Unlearning of Selective Knowledge in Multilingual Language Models,https://arxiv.org/abs/2406.12354,2024-06-18,2024-06-19
Top-Down Bayesian Posterior Sampling for Sum-Product Networks,https://arxiv.org/abs/2406.12353,2024-06-18,2024-06-19
Effective Generation of Feasible Solutions for Integer Programming via Guided Diffusion,https://arxiv.org/abs/2406.12349,2024-06-18,2024-06-19
Navigating Knowledge Management Implementation Success in Government Organizations - A type-2 fuzzy approach,https://arxiv.org/abs/2406.12345,2024-06-18,2024-06-19
PARAFAC2-based Coupled Matrix and Tensor Factorizations with Constraints,https://arxiv.org/abs/2406.12338,2024-06-18,2024-06-19
A Compass for Navigating the World of Sentence Embeddings for the Telecom Domain,https://arxiv.org/abs/2406.12336,2024-06-18,2024-06-19
Attention Score is not All You Need for Token Importance Indicator in KV Cache Reduction - Value Also Matters,https://arxiv.org/abs/2406.12335,2024-06-18,2024-06-19
What Did I Do Wrong? Quantifying LLMs' Sensitivity and Consistency to Prompt Engineering,https://arxiv.org/abs/2406.12334,2024-06-18,2024-06-19
Retrieval Meets Reasoning - Dynamic In-Context Editing for Long-Text Understanding,https://arxiv.org/abs/2406.12331,2024-06-18,2024-06-19
Security and Privacy of 6G Federated Learning-enabled Dynamic Spectrum Sharing,https://arxiv.org/abs/2406.12330,2024-06-18,2024-06-19
SNAP - Unlearning Selective Knowledge in Large Language Models with Negative Instructions,https://arxiv.org/abs/2406.12329,2024-06-18,2024-06-19
Toward Exploring the Code Understanding Capabilities of Pre-trained Code Generation Models,https://arxiv.org/abs/2406.12326,2024-06-18,2024-06-19
PRePair - Pointwise Reasoning Enhance Pairwise Evaluating for Robust Instruction-Following Assessments,https://arxiv.org/abs/2406.12319,2024-06-18,2024-06-19
Finding Task-specific Subnetworks in Multi-task Spoken Language Understanding Model,https://arxiv.org/abs/2406.12317,2024-06-18,2024-06-19
Enhancing Visible-Infrared Person Re-identification with Modality- and Instance-aware Visual Prompt Learning,https://arxiv.org/abs/2406.12316,2024-06-18,2024-06-19
PruningBench - A Comprehensive Benchmark of Structural Pruning,https://arxiv.org/abs/2406.12315,2024-06-18,2024-06-19
Mixture of Scales - Memory-Efficient Token-Adaptive Binarization for Large Language Models,https://arxiv.org/abs/2406.12311,2024-06-18,2024-06-19
Can Tool-augmented Large Language Models be Aware of Incomplete Conditions?,https://arxiv.org/abs/2406.12307,2024-06-18,2024-06-19
COT - A Generative Approach for Hate Speech Counter-Narratives via Contrastive Optimal Transport,https://arxiv.org/abs/2406.12304,2024-06-18,2024-06-19
A Step Towards a Universal Method for Modeling and Implementing Cross-Organizational Business Processes,https://arxiv.org/abs/2406.12302,2024-06-18,2024-06-19
Research on Dangerous Flight Weather Prediction based on Machine Learning,https://arxiv.org/abs/2406.12298,2024-06-18,2024-06-19
Faithful Density-Peaks Clustering via Matrix Computations on MPI Parallelization System,https://arxiv.org/abs/2406.12297,2024-06-18,2024-06-19
Fast and Slow Generating - An Empirical Study on Large and Small Language Models Collaborative Decoding,https://arxiv.org/abs/2406.12295,2024-06-18,2024-06-19
JEN-1 DreamStyler - Customized Musical Concept Learning via Pivotal Parameters Tuning,https://arxiv.org/abs/2406.12292,2024-06-18,2024-06-19
Stability of Data-Dependent Ridge-Regularization for Inverse Problems,https://arxiv.org/abs/2406.12289,2024-06-18,2024-06-19
An Investigation of Neuron Activation as a Unified Lens to Explain Chain-of-Thought Eliciting Arithmetic Reasoning of LLMs,https://arxiv.org/abs/2406.12288,2024-06-18,2024-06-19
VIRL - Volume-Informed Representation Learning towards Few-shot Manufacturability Estimation,https://arxiv.org/abs/2406.12286,2024-06-18,2024-06-19
DASSF - Dynamic-Attention Scale-Sequence Fusion for Aerial Object Detection,https://arxiv.org/abs/2406.12285,2024-06-18,2024-06-19
Demystifying the Recency Heuristic in Temporal-Difference Learning,https://arxiv.org/abs/2406.12284,2024-06-18,2024-06-19
SAGDFN - A Scalable Adaptive Graph Diffusion Forecasting Network for Multivariate Time Series Forecasting,https://arxiv.org/abs/2406.12282,2024-06-18,2024-06-19
What Matters in Learning Facts in Language Models? Multifaceted Knowledge Probing with Diverse Multi-Prompt Datasets,https://arxiv.org/abs/2406.12277,2024-06-18,2024-06-19
CodeNav - Beyond tool-use to using real-world codebases with LLM agents,https://arxiv.org/abs/2406.12276,2024-06-18,2024-06-19
SafeInfer - Context Adaptive Decoding Time Safety Alignment for Large Language Models,https://arxiv.org/abs/2406.12274,2024-06-18,2024-06-19
Slot State Space Models,https://arxiv.org/abs/2406.12272,2024-06-18,2024-06-19
Unveiling Implicit Table Knowledge with Question-Then-Pinpoint Reasoner for Insightful Table Summarization,https://arxiv.org/abs/2406.12269,2024-06-18,2024-06-19
Towards a Client-Centered Assessment of LLM Therapists by Client Simulation,https://arxiv.org/abs/2406.12266,2024-06-18,2024-06-19
Projection Methods for Operator Learning and Universal Approximation,https://arxiv.org/abs/2406.12264,2024-06-18,2024-06-19
Defending Against Social Engineering Attacks in the Age of LLMs,https://arxiv.org/abs/2406.12263,2024-06-18,2024-06-19
Investigating Data Usage for Inductive Conformal Predictors,https://arxiv.org/abs/2406.12262,2024-06-18,2024-06-19
Self-Supervised Time-Series Anomaly Detection Using Learnable Data Augmentation,https://arxiv.org/abs/2406.12260,2024-06-18,2024-06-19
Adversarial Attacks on Large Language Models in Medicine,https://arxiv.org/abs/2406.12259,2024-06-18,2024-06-19
CleanGen - Mitigating Backdoor Attacks for Generation Tasks in Large Language Models,https://arxiv.org/abs/2406.12257,2024-06-18,2024-06-19
A Hopfieldian View-based Interpretation for Chain-of-Thought Reasoning,https://arxiv.org/abs/2406.12255,2024-06-18,2024-06-19
Language and Multimodal Models in Sports - A Survey of Datasets and Applications,https://arxiv.org/abs/2406.12252,2024-06-18,2024-06-19
Mitigate Negative Transfer with Similarity Heuristic Lifelong Prompt Tuning,https://arxiv.org/abs/2406.12251,2024-06-18,2024-06-19
TroL - Traversal of Layers for Large Language and Vision Models,https://arxiv.org/abs/2406.12246,2024-06-18,2024-06-19
CherryRec - Enhancing News Recommendation Quality via LLM-driven Framework,https://arxiv.org/abs/2406.12243,2024-06-18,2024-06-19
GMP-AR - Granularity Message Passing and Adaptive Reconciliation for Temporal Hierarchy Forecasting,https://arxiv.org/abs/2406.12242,2024-06-18,2024-06-19
More Efficient Randomized Exploration for Reinforcement Learning via Approximate Sampling,https://arxiv.org/abs/2406.12241,2024-06-18,2024-06-19
